,Formation Energy,Magnetic order,Has_FM,Has_AFM
Ru2Pd2Cl12,afm_so,afm_so,True,True
Ru2Ir2Br12,afm_so,afm_so,True,True
Ru4I12,spin_so,spin_so,True,True
V2Ru2Br12,afm_so,afm_so,True,True
Mo2Ru2Br12,afm_so,afm_so,True,True
Ru2Pt2I12,spin_so,spin_so,True,True
Cd2Ru2Br12,spin_so,spin_so,True,True
Cu2Ru2Br12,spin_so,afm_so,True,True
Ru2Pt2Cl12,afm_so,afm_so,True,True
Fe2Ru2I12,spin_so,spin_so,True,True
Cr2Ni2I6Cl6,afm_so,afm_so,False,True
Cd2Ru2I12,spin_so,spin_so,True,True
Ru4Cl12,spin_so,spin_so,True,True
Zn2Fe2Br6Cl6,afm_so,afm_so,False,True
Ti2Fe2Br12,afm_so,afm_so,True,True
Ru2Pt2Br12,spin_so,spin_so,True,True
Sc2Ru2Cl12,spin_so,spin_so,True,True
Ru2W2I12,afm_so,spin_so,True,True
Zr2Ru2Br12,spin_so,spin_so,True,False
Ru2Pd2I12,spin_so,afm_so,True,True
Ti2Au2Cl12,spin_so,spin_so,True,False
Ru2W2Br12,afm_so,afm_so,True,True
Cu2Ru2I12,spin_so,spin_so,True,False
Co2Ru2Cl12,spin_so,spin_so,True,True
Sc2Ru2Br12,spin_so,afm_so,True,True
Co2Cu2I12,spin_so,spin_so,True,True
Zr2Ru2Cl12,afm_so,afm_so,True,True
Cr2Fe2I6Br6,spin_so,spin_so,True,False
Cd2Ru2F12,spin_so,afm_so,True,True
Ru2Ir2Cl12,spin_so,spin_so,True,True
Ti2Ru2I12,afm_so,afm_so,True,True
Ru2Au2F12,afm_so,spin_so,True,True
Fe2Ru2Cl12,spin_so,spin_so,True,True
Ru2Au2Cl12,afm_so,afm_so,True,True
Co2Ru2I12,spin_so,afm_so,True,True
Ag2Ru2Cl12,spin_so,spin_so,True,True
Co2Rh2I12,spin_so,afm_so,True,True
Ti2Ir2I12,afm_so,spin_so,True,True
Fe2Ru2F12,afm_so,afm_so,False,True
Nb2Co2Br12,afm_so,afm_so,False,True
Cr4I6Br6,spin_so,spin_so,True,False
Mn2Ru2Cl12,afm_so,afm_so,False,True
Cr2Ni2Br6Cl6,afm_so,afm_so,False,True
Ti4I6Cl6,spin_so,spin_so,True,False
Nb2Co2Cl12,spin_so,spin_so,True,False
Ni4I6Br6,spin_so,spin_so,True,False
Co2Ag2Br12,afm_so,afm_so,True,True
Cr2Ir2I12,spin_so,afm_so,True,True
Co2Cu2Cl12,spin_so,spin_so,True,True
Co2Ag2I12,spin_so,spin_so,True,True
Co4Cl12,spin_so,afm_so,True,True
Sc2Co2Cl12,spin_so,spin_so,True,True
Mn2Co2I12,spin_so,spin_so,True,True
Co2Rh2Br12,afm_so,spin_so,True,True
Co2Ag2Cl12,spin_so,spin_so,True,True
Co2Rh2Cl12,afm_so,afm_so,False,True
Sc2Co2Br12,afm_so,spin_so,True,True
Co4Br12,afm_so,spin_so,True,True
Co4I12,spin_so,spin_so,True,True
Co2Cu2Br12,spin_so,spin_so,True,True
Co2Pt2Br12,spin_so,afm_so,True,True
Co2W2I12,spin_so,spin_so,True,False
Nb2Ru2F12,afm_so,afm_so,False,True
Ir4Br12,afm_so,spin_so,True,True
Co2Tc2I12,spin_so,spin_so,True,True
Sc2Co2I12,spin_so,spin_so,True,True
Nb2Co2I12,afm_so,afm_so,False,True
V2Co2I12,afm_so,spin_so,True,True
Zn4Br6Cl6,afm_so,afm_so,True,True
Zr2Ti2I12,spin_so,afm_so,True,True
Co2Pt2I12,afm_so,spin_so,True,True
Zr2Ti2Cl12,afm_so,spin_so,True,True
Cr2Ir2Cl12,spin_so,spin_so,True,False
Ti2Cr2I12,spin_so,afm_so,True,True
Ti2Ru2Cl12,afm_so,spin_so,True,True
Ti2Ni2Cl12,spin_so,afm_so,True,True
Zn4I6Cl6,afm_so,afm_so,True,True
Ir4Cl12,spin_so,afm_so,True,True
Zr2Ir2Cl12,afm_so,spin_so,True,True
Ti2Ni2Br12,spin_so,afm_so,True,True
Ti2Zn2Br12,afm_so,afm_so,True,True
Ti2Ni2I12,afm_so,afm_so,True,True
Fe2Ir2Br12,afm_so,spin_so,True,True
Ti2Pd2I12,afm_so,afm_so,True,True
Ti2Ir2Br12,spin_so,spin_so,True,True
Cd2Ir2Cl12,afm_so,spin_so,True,True
Zn2Ir2Cl12,afm_so,afm_so,True,True
Cd2Ir2Br12,spin_so,spin_so,True,False
Ir2Ru2Br12,spin_so,spin_so,True,True
Ir4I12,afm_so,afm_so,True,True
Ti2Cd2Cl12,spin_so,afm_so,True,True
Ti2Zn2I12,spin_so,spin_so,True,True
Ti2Zn2Cl12,spin_so,spin_so,True,False
Ti4Cl12,spin_so,afm_so,True,True
Ir2Pd2Br12,afm_so,spin_so,True,True
Zr2Ti2Br12,spin_so,spin_so,True,True
Co2Tc2Br12,afm_so,afm_so,False,True
Fe2Ir2I12,afm_so,spin_so,True,True
Ni2Ir2Br12,afm_so,spin_so,True,True
Zn2Ir2Br12,afm_so,spin_so,True,True
Zr2Ir2Br12,spin_so,afm_so,True,True
Mo2Ir2I12,afm_so,spin_so,True,True
Ir2Ru2Cl12,afm_so,afm_so,True,True
Zn2Fe2I6Br6,afm_so,afm_so,False,True
